d_A,R_A,ratio_multipole_to_point
0.0,3.0,1.0
0.0,3.0707070707070705,1.0
0.0,3.1414141414141414,1.0
0.0,3.212121212121212,1.0
0.0,3.282828282828283,1.0
0.0,3.3535353535353534,1.0
0.0,3.4242424242424243,1.0
0.0,3.494949494949495,1.0
0.0,3.5656565656565657,1.0
0.0,3.6363636363636362,1.0
0.0,3.707070707070707,1.0
0.0,3.7777777777777777,1.0
0.0,3.8484848484848486,1.0
0.0,3.919191919191919,1.0
0.0,3.9898989898989896,1.0
0.0,4.0606060606060606,1.0
0.0,4.1313131313131315,1.0
0.0,4.202020202020202,1.0
0.0,4.2727272727272725,1.0
0.0,4.343434343434343,1.0
0.0,4.414141414141414,1.0
0.0,4.484848484848484,1.0
0.0,4.555555555555555,1.0
0.0,4.626262626262626,1.0
0.0,4.696969696969697,1.0
0.0,4.767676767676767,1.0
0.0,4.838383838383838,1.0
0.0,4.909090909090909,1.0
0.0,4.979797979797979,1.0
0.0,5.05050505050505,1.0
0.0,5.121212121212121,1.0
0.0,5.191919191919192,1.0
0.0,5.262626262626263,1.0
0.0,5.333333333333333,1.0
0.0,5.404040404040404,1.0
0.0,5.474747474747474,1.0
0.0,5.545454545454545,1.0
0.0,5.616161616161616,1.0
0.0,5.686868686868687,1.0
0.0,5.757575757575758,1.0
0.0,5.828282828282829,1.0
0.0,5.898989898989899,1.0
0.0,5.96969696969697,1.0
0.0,6.04040404040404,1.0
0.0,6.111111111111111,1.0
0.0,6.181818181818182,1.0
0.0,6.252525252525253,1.0
0.0,6.3232323232323235,1.0
0.0,6.393939393939394,1.0
0.0,6.4646464646464645,1.0
0.0,6.535353535353535,1.0
0.0,6.6060606060606055,1.0
0.0,6.6767676767676765,1.0
0.0,6.747474747474747,1.0
0.0,6.818181818181818,1.0
0.0,6.888888888888889,1.0
0.0,6.959595959595959,1.0
0.0,7.03030303030303,1.0
0.0,7.101010101010101,1.0
0.0,7.171717171717171,1.0
0.0,7.242424242424242,1.0
