n_e,alpha_kcal_per_e,dG_kcal,k_s^-1
0,2.5942421875,15.0,62.83249945549695
1,2.5942421875,12.4057578125,5009.303014179514
2,2.5942421875,9.811515625,399365.24736917304
3,2.5942421875,7.2172734375,31839279.90676052
