R_A,alpha_kcal_per_e_epsilon_2,alpha_kcal_per_e_epsilon_4,alpha_kcal_per_e_epsilon_10
4.2727272727272725,4.547263807152558,2.273631903576279,0.9094527614305116
4.343434343434343,4.4004184194159,2.20020920970795,0.8800836838831801
4.414141414141414,4.260573002686299,2.1302865013431496,0.8521146005372598
4.484848484848484,4.127289616051863,2.0636448080259315,0.8254579232103726
4.555555555555555,4.000164039262344,2.000082019631172,0.8000328078524688
4.626262626262626,3.8788227043248598,1.9394113521624299,0.775764540864972
4.696969696969697,3.7629199479708633,1.8814599739854316,0.7525839895941727
4.767676767676767,3.6521355472116497,1.8260677736058248,0.7304271094423299
4.838383838383838,3.5461725051320387,1.7730862525660194,0.7092345010264077
4.909090909090909,3.4447550582990396,1.7223775291495198,0.6889510116598079
4.979797979797979,3.3476268807935856,1.6738134403967928,0.6695253761587171
5.05050505050505,3.2545494630000005,1.6272747315000002,0.6509098926000001
5.121212121212121,3.1653006459857846,1.5826503229928923,0.6330601291971569
5.191919191919192,3.0796732946373147,1.5398366473186573,0.6159346589274629
5.262626262626263,2.9974740947388194,1.4987370473694097,0.5994948189477639
5.333333333333333,2.9185224609375,1.45926123046875,0.5837044921875
5.404040404040404,2.842649544064984,1.421324772032492,0.5685299088129968
5.474747474747474,2.769697327616727,1.3848486638083635,0.5539394655233454
5.545454545454545,2.6995178043536687,1.3497589021768344,0.5399035608707338
5.616161616161616,2.6319722250077637,1.3159861125038819,0.5263944450015527
5.686868686868687,2.566930411964577,1.2834652059822884,0.5133860823929154
5.757575757575758,2.504270131578947,1.2521350657894734,0.5008540263157895
5.828282828282829,2.4438765194681142,1.2219382597340571,0.48877530389362284
5.898989898989899,2.385641553733111,1.1928207768665555,0.47712831074662226
5.96969696969697,2.3294635715942174,1.1647317857971087,0.4658927143188435
6.04040404040404,2.275246825399045,1.1376234126995226,0.45504936507980903
6.111111111111111,2.2229010743801654,1.1114505371900827,0.4445802148760331
6.181818181818182,2.172341208910035,1.0861706044550175,0.4344682417820069
6.252525252525253,2.1234869043300333,1.0617434521650166,0.42469738086600667
6.3232323232323235,2.0762623017229935,1.0381311508614968,0.41525246034459873
6.393939393939394,2.030595713258912,1.015297856629456,0.40611914265178234
6.4646464646464645,1.986419349975586,0.993209674987793,0.3972838699951172
6.535353535353535,1.9436690700629948,0.9718345350314974,0.388733814012599
6.6060606060606055,1.902284145905227,0.9511420729526135,0.3804568291810454
6.6767676767676765,1.8622070482993496,0.9311035241496748,0.3724414096598699
6.747474747474747,1.8233832464188389,0.9116916232094194,0.3646766492837678
6.818181818181818,1.785761022222222,0.892880511111111,0.3571522044444444
6.888888888888889,1.7492912981269508,0.8746456490634754,0.34985825962539013
6.959595959595959,1.7139274768758912,0.8569637384379456,0.3427854953751783
7.03030303030303,1.6796252926203925,0.8398126463101963,0.3359250585240785
7.101010101010101,1.6463426723309367,0.8231713361654683,0.3292685344661873
7.171717171717171,1.6140396067248564,0.8070198033624282,0.32280792134497127
7.242424242424242,1.582678029971464,0.791339014985732,0.3165356059942928
7.313131313131313,1.552221707499008,0.776110853749504,0.31044434149980155
7.383838383838384,1.5226361312857786,0.7613180656428893,0.3045272262571557
7.454545454545454,1.4938884220701965,0.7469442110350982,0.2987776844140393
7.525252525252525,1.465947237962254,0.732973618981127,0.29318944759245075
7.595959595959596,1.438782688981864,0.719391344490932,0.2877565377963728
7.666666666666666,1.4123662570888469,0.7061831285444234,0.2824732514177694
7.737373737373737,1.3866707213049376,0.6933353606524688,0.27733414426098757
7.808080808080808,1.3616700875606036,0.6808350437803018,0.2723340175121207
7.878787878787879,1.3373395229289942,0.6686697614644971,0.2674679045857988
7.949494949494949,1.3136552939362482,0.6568276469681241,0.2627310587872496
8.02020202020202,1.2905947086619418,0.6452973543309709,0.25811894173238836
8.09090909090909,1.268136062365863,0.6340680311829315,0.25362721247317266
8.161616161616163,1.2462585863977793,0.6231292931988897,0.24925171727955586
8.232323232323232,1.2249424001656066,0.6124712000828033,0.24498848003312132
8.303030303030303,1.2041684659544996,0.6020842329772498,0.24083369319089992
8.373737373737374,1.1839185464051183,0.5919592732025591,0.23678370928102366
8.444444444444445,1.1641751644736842,0.5820875822368421,0.2328350328947368
8.515151515151516,1.144921565709654,0.572460782854827,0.22898431314193082
8.585858585858585,1.1261416826989623,0.5630708413494812,0.22522833653979243
