tau_s,k_eff_s^-1,k_fast_limit_s^-1,k_slow_limit_s^-1,k0_s^-1,k1_s^-1
1e-09,2513.3356986159733,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1.7782794100389228e-09,2538.893401459779,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
3.1622776601683795e-09,2507.0778084910935,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
5.623413251903491e-09,2567.3603900425364,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1e-08,2711.0748351582934,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1.7782794100389228e-08,2574.993103907415,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
3.162277660168379e-08,2557.8997685019917,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
5.6234132519034905e-08,2472.036745118652,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1e-07,2436.463846639908,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1.7782794100389227e-07,2452.7716916552968,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
3.162277660168379e-07,2526.755739899214,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
5.62341325190349e-07,2527.4252475958347,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1e-06,2500.857514203755,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1.778279410038923e-06,2508.917524647251,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
3.162277660168379e-06,2609.322291813335,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
5.623413251903491e-06,2419.817563289555,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1e-05,2455.336251510299,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
1.778279410038923e-05,2466.8915027496373,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
3.1622776601683795e-05,2486.4072754299036,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
5.623413251903491e-05,2453.37528129746,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
0.0001,2292.9185870744245,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
0.00017782794100389227,2163.9048582794035,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
0.00031622776601683794,1837.6031740064745,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
0.0005623413251903491,1514.2798095838857,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
0.001,1218.165487862036,2536.0677568175056,124.10828853635498,62.83249945549695,5009.303014179514
