time_fs,E_t,Z_A,n_A,n_A_err,exp_beta_alpha_n,J_dimless,J_phys_s,P_lower,P_upper,k_inst_s-1
0.0,0.15333470299076274,1.0,0.0,0.011180339887498949,1.0,9.090909090909092,9.090909090909092e-15,0.0278193485249153,0.054864780897479926,6207000000000.0
9.090909090909092,-0.06220243049700689,0.886,0.056999999999999995,0.011180339887498949,1.0450826719762838,18.591660654329853,1.8591660654329857e-14,0.056066177748092194,0.10898893920890373,6486828144956.794
18.181818181818183,0.031125880411611653,0.479,0.2605,0.011180339887498949,1.2232685673240764,29.712283993639637,2.971228399363964e-14,0.08808826316208651,0.16841698421726004,7592827997380.542
27.272727272727273,-0.09286331684147392,0.617,0.1915,0.011180339887498949,1.1596834365200792,40.254860689276725,4.025486068927673e-14,0.11744216785763295,0.22109167292416543,7198155090480.132
36.36363636363637,0.10911787297553939,0.551,0.22449999999999998,0.011180339887498949,1.1896704406501435,51.07004651336894,5.1070046513368944e-14,0.14657352808236856,0.2716632570302243,7384284425115.44
45.45454545454546,-0.010392285810330412,0.19,0.405,0.011180339887498949,1.3679505121117734,63.50596025983961,6.35059602598396e-14,0.17888388443978753,0.3257683247673079,8490868828677.777
54.54545454545455,-0.08142618746807877,0.741,0.1295,0.011180339887498949,1.1053731877539603,73.55480742123925,7.355480742123925e-14,0.20409651049732447,0.3665376353974644,6861051376388.832
63.63636363636364,0.05830232777047678,0.873,0.0635,0.011180339887498949,1.0503510953441695,83.10345374254987,8.310345374254988e-14,0.227336443263626,0.4029910280914961,6519529248801.26
72.72727272727273,-0.007365802988470987,0.833,0.08350000000000002,0.011180339887498949,1.0667287936329302,92.80098823012197,9.280098823012198e-14,0.25024430609134807,0.4378663994515559,6621185622079.598
81.81818181818183,0.057606295903157884,0.795,0.10249999999999998,0.011180339887498949,1.0825240829918155,102.6421162573203,1.026421162573203e-13,0.27279714332424865,0.4711760052426267,6719226983130.198
90.90909090909092,-0.1552370564461875,0.842,0.07900000000000001,0.011180339887498949,1.0630216869204905,112.3059497747793,1.1230594977477929e-13,0.29428338349850736,0.5019640571936852,6598175610715.484
100.0,0.1533347029907626,0.691,0.15450000000000003,0.011180339887498949,1.1269595613897698,122.55103669650447,1.2255103669650446e-13,0.31636911059475203,0.5326488070509896,6995037997546.302
