iter,J_dimless
1,122.7377605941146
2,122.82963325634356
3,122.46120487577267
4,122.5611394400202
5,122.73624399360784
6,122.63147218190366
7,122.58582508961113
8,122.3070779689694
9,122.35277051881458
10,122.72578201474948
11,122.64587293028367
12,122.77072519830254
13,121.94995714056519
14,122.69781551920039
15,122.8569596146677
16,122.11015483701587
17,122.44424895136237
18,122.4025004811837
19,122.14383545219957
20,122.4894458368909
