alpha_sorted,cdf
0.17711654942615798,0.0
0.17719035658236063,5e-06
0.19183380840001082,1e-05
0.19560532751290122,1.5000000000000002e-05
0.19778542084430176,2e-05
0.19852991223715888,2.5e-05
0.202964931042449,3.0000000000000004e-05
0.20327852288892123,3.5000000000000004e-05
0.20583730048936807,4e-05
0.20622622081508732,4.5e-05
0.2063631327820571,5e-05
0.2063892073014932,5.5e-05
0.2087056490219899,6.000000000000001e-05
0.21029254811326145,6.500000000000001e-05
0.21554206216025842,7.000000000000001e-05
0.21640529802593628,7.500000000000001e-05
0.21708254770805496,8e-05
0.21717907437044276,8.5e-05
0.21793355385401927,9e-05
0.21857863083664394,9.5e-05
0.2189491758525815,0.0001
0.21937603145787185,0.000105
0.21959711656057865,0.00011
0.2201673853441293,0.000115
0.22049896654644124,0.00012000000000000002
0.22186991853019566,0.000125
0.22206666210885131,0.00013000000000000002
0.222349674685481,0.000135
0.2228284799560126,0.00014000000000000001
0.22380481703729993,0.000145
0.2238695233363025,0.00015000000000000001
0.22410938246812817,0.000155
0.22419191639060473,0.00016
0.22464710409519223,0.00016500000000000003
0.22498899815504475,0.00017
0.22525115903520546,0.00017500000000000003
0.22608714991294168,0.00018
0.22624903457854376,0.00018500000000000002
0.2263832691027345,0.00019
0.22729009718090423,0.00019500000000000002
0.22732680555808754,0.0002
0.22778808830937794,0.00020500000000000002
0.22986400686316902,0.00021
0.23024343630459115,0.00021500000000000002
0.2306375788831386,0.00022
0.23080134945230393,0.00022500000000000002
0.23115677991324815,0.00023
0.2313803727347719,0.00023500000000000002
0.2320250505148739,0.00024000000000000003
0.23306855352023462,0.00024500000000000005
0.23316368148954544,0.00025
0.23331204641409817,0.000255
0.23356192835911413,0.00026000000000000003
0.233573111114529,0.00026500000000000004
0.2335908046302672,0.00027
0.23364834257116143,0.000275
0.23406720578578258,0.00028000000000000003
0.23415446599438997,0.00028500000000000004
0.2349188282754249,0.00029
0.23532495585461077,0.000295
0.23544448427164102,0.00030000000000000003
0.2354891312112889,0.00030500000000000004
0.23570354792200332,0.00031
0.23575811140860653,0.000315
0.23607917697194863,0.00032
0.23631440612418064,0.00032500000000000004
0.23643373708427662,0.00033000000000000005
0.23648544929069007,0.000335
0.23669395004007043,0.00034
0.23717133333852233,0.00034500000000000004
0.23728752248464752,0.00035000000000000005
0.23755977227124062,0.000355
0.23811828014027683,0.00036
0.23818237275141813,0.00036500000000000004
0.2383152792269198,0.00037000000000000005
0.23843840082163859,0.000375
0.23865039721999487,0.00038
0.2390946229606574,0.00038500000000000003
0.23964519684840788,0.00039000000000000005
0.24045584718894655,0.000395
0.2409567735722063,0.0004
0.24096698189242172,0.00040500000000000003
0.24109490011951218,0.00041000000000000005
0.24137198997460727,0.00041500000000000006
0.2416156071198674,0.00042
0.24174164250705293,0.00042500000000000003
0.24180311781448294,0.00043000000000000004
0.242526919570249,0.00043500000000000006
0.2426173851914103,0.00044
0.24275712586264128,0.00044500000000000003
0.2428243922796227,0.00045000000000000004
0.243037305923646,0.00045500000000000006
0.243930625581352,0.00046
0.24407640970020353,0.000465
0.244096691149928,0.00047000000000000004
0.2441824157149995,0.00047500000000000005
0.24479404936884847,0.00048000000000000007
0.24530030283802604,0.000485
0.24623222294399316,0.0004900000000000001
0.24685832904619984,0.000495
0.24730257772497385,0.0005
0.24736066065785667,0.000505
0.24761317360566004,0.00051
0.247867208740415,0.000515
