alpha_sorted,cdf
0.46463590630515506,0.0
0.4653221137429135,5e-06
0.4654404506373343,1e-05
0.47688705395649444,1.5000000000000002e-05
0.4785768268572025,2e-05
0.48230486330595806,2.5e-05
0.4845316773366996,3.0000000000000004e-05
0.4868475096431986,3.5000000000000004e-05
0.48685598978477357,4e-05
0.4878718020856138,4.5e-05
0.48915945879389156,5e-05
0.4912825561151382,5.5e-05
0.4928173228956604,6.000000000000001e-05
0.49457687045503684,6.500000000000001e-05
0.495597503722898,7.000000000000001e-05
0.496069705760656,7.500000000000001e-05
0.5006741692410032,8e-05
0.5011227087198494,8.5e-05
0.502534198182865,9e-05
0.5046909681488115,9.5e-05
0.5057199102756851,0.0001
0.5061340532672914,0.000105
0.5069096982274753,0.00011
0.5076450185628821,0.000115
0.5077557978970082,0.00012000000000000002
0.5077629105649945,0.000125
0.5083454019865643,0.00013000000000000002
0.5088136103936846,0.000135
0.5098206134737804,0.00014000000000000001
0.5099280848855806,0.000145
0.51146628189452,0.00015000000000000001
0.5129639711045775,0.000155
0.5157275995170783,0.00016
0.5157493450603531,0.00016500000000000003
0.5170594465737003,0.00017
0.517811894374958,0.00017500000000000003
0.5202000808801649,0.00018
0.5209475525444971,0.00018500000000000002
0.5217482173775655,0.00019
0.5224077794405428,0.00019500000000000002
0.5231209822438105,0.0002
0.525477345660512,0.00020500000000000002
0.5256273000908132,0.00021
0.5265727030075728,0.00021500000000000002
0.5273675402930388,0.00022
0.5283300801832552,0.00022500000000000002
0.5283322218530743,0.00023
0.5287607432587078,0.00023500000000000002
0.5300772072222661,0.00024000000000000003
0.5309973446320149,0.00024500000000000005
0.53115384109931,0.00025
0.5312350201146958,0.000255
0.53198255291291,0.00026000000000000003
0.5324655547980307,0.00026500000000000004
0.5328155395330837,0.00027
0.5329775612486518,0.000275
0.5336002828884608,0.00028000000000000003
0.5344264392766983,0.00028500000000000004
0.535133655636042,0.00029
0.5355424834284643,0.000295
0.5360753769935197,0.00030000000000000003
0.536326389902678,0.00030500000000000004
0.5366783492112711,0.00031
0.5371372518810758,0.000315
0.5372060101717469,0.00032
