theta0_deg,mean_projection
0.0,1.0
1.0,0.9999238475781956
2.0,0.9996954135095479
3.0,0.9993147673772869
4.0,0.9987820251299121
5.0,0.9980973490458728
6.0,0.9972609476841366
7.0,0.996273075820661
8.0,0.9951340343707852
9.0,0.9938441702975689
10.0,0.9924038765061041
11.0,0.990813591723832
12.0,0.9890738003669028
13.0,0.9871850323926177
14.0,0.9851478631379982
15.0,0.9829629131445341
16.0,0.9806308479691594
17.0,0.9781523779815178
18.0,0.9755282581475768
19.0,0.9727592877996585
20.0,0.9698463103929542
21.0,0.9667902132486008
22.0,0.9635919272833937
23.0,0.9602524267262202
24.0,0.9567727288213004
25.0,0.953153893518325
26.0,0.9493970231495835
27.0,0.9455032620941839
28.0,0.9414737964294635
29.0,0.9373098535696979
30.0,0.9330127018922194
31.0,0.9285836503510562
32.0,0.9240240480782129
33.0,0.919335283972712
34.0,0.9145187862775208
35.0,0.909576022144496
36.0,0.9045084971874737
37.0,0.8993177550236464
38.0,0.8940053768033609
39.0,0.8885729807284855
40.0,0.883022221559489
41.0,0.8773547901113861
42.0,0.8715724127386971
43.0,0.8656768508095852
44.0,0.8596699001693255
45.0,0.8535533905932737
46.0,0.8473291852294986
47.0,0.8409991800312493
48.0,0.8345653031794291
49.0,0.8280295144952536
50.0,0.8213938048432696
51.0,0.8146601955249188
52.0,0.8078307376628291
53.0,0.8009075115760242
54.0,0.7938926261462366
55.0,0.786788218175523
56.0,0.7795964517353734
57.0,0.7723195175075135
58.0,0.7649596321166025
59.0,0.7575190374550271
60.0,0.75
61.0,0.7424048101231686
62.0,0.7347357813929454
63.0,0.7269952498697734
64.0,0.7191855733945387
65.0,0.7113091308703497
66.0,0.7033683215379001
67.0,0.6953655642446368
68.0,0.687303296707956
69.0,0.6791839747726502
70.0,0.6710100716628344
71.0,0.6627840772285783
72.0,0.6545084971874737
73.0,0.6461858523613684
74.0,0.6378186779084996
75.0,0.6294095225512604
76.0,0.6209609477998338
77.0,0.6124755271719324
78.0,0.6039558454088797
79.0,0.5954044976882724
80.0,0.5868240888334653
81.0,0.5782172325201155
82.0,0.5695865504800327
83.0,0.5609346717025737
84.0,0.5522642316338268
85.0,0.5435778713738291
86.0,0.5348782368720626
87.0,0.526167978121472
88.0,0.5174497483512506
89.0,0.5087262032186418
90.0,0.5
91.0,0.49127379678135824
92.0,0.48255025164874954
93.0,0.4738320218785281
94.0,0.46512176312793735
95.0,0.4564221286261709
96.0,0.44773576836617324
97.0,0.43906532829742634
98.0,0.4304134495199673
99.0,0.4217827674798846
100.0,0.41317591116653485
101.0,0.4045955023117276
102.0,0.3960441545911203
103.0,0.38752447282806746
104.0,0.3790390522001661
105.0,0.3705904774487396
106.0,0.36218132209150045
107.0,0.35381414763863167
108.0,0.34549150281252633
109.0,0.33721592277142165
110.0,0.32898992833716567
111.0,0.32081602522734987
112.0,0.31269670329204396
113.0,0.3046344357553631
114.0,0.29663167846209987
115.0,0.28869086912965036
116.0,0.28081442660546124
117.0,0.2730047501302266
118.0,0.2652642186070545
119.0,0.2575951898768315
120.0,0.2500000000000001
121.0,0.24248096254497287
122.0,0.2350403678833976
123.0,0.22768048249248646
124.0,0.22040354826462666
125.0,0.21321178182447692
126.0,0.2061073738537635
127.0,0.1990924884239758
128.0,0.19216926233717085
129.0,0.18533980447508136
130.0,0.17860619515673032
131.0,0.17197048550474642
132.0,0.16543469682057088
133.0,0.15900081996875082
134.0,0.15267081477050132
135.0,0.14644660940672627
136.0,0.1403300998306744
137.0,0.13432314919041477
138.0,0.128427587261303
139.0,0.12264520988861399
140.0,0.11697777844051105
141.0,0.11142701927151455
142.0,0.10599462319663905
143.0,0.10068224497635353
144.0,0.09549150281252633
145.0,0.09042397785550405
146.0,0.08548121372247919
147.0,0.08066471602728803
148.0,0.07597595192178702
149.0,0.07141634964894389
150.0,0.06698729810778065
151.0,0.06269014643030213
152.0,0.058526203570536506
153.0,0.054496737905816106
154.0,0.05060297685041648
155.0,0.04684610648167503
156.0,0.04322727117869962
157.0,0.03974757327377981
158.0,0.03640807271660634
159.0,0.03320978675139913
160.0,0.03015368960704584
161.0,0.027240712200341577
162.0,0.024471741852423234
163.0,0.021847622018482227
164.0,0.019369152030840553
165.0,0.0170370868554659
166.0,0.014852136862001764
167.0,0.012814967607382433
168.0,0.010926199633097156
169.0,0.009186408276168012
170.0,0.00759612349389599
171.0,0.00615582970243117
172.0,0.004865965629214819
173.0,0.0037269241793390084
174.0,0.002739052315863355
175.0,0.0019026509541272274
176.0,0.0012179748700879012
177.0,0.0006852326227130834
178.0,0.00030458649045211894
179.0,7.615242180436521e-05
180.0,0.0
