R_Ang,ratio_d_0.0_Ang,ratio_d_1.0_Ang,ratio_d_2.0_Ang
3.0,1.0,0.9597346285934372,0.8538149682454624
3.0351758793969847,1.0,0.9606319460066634,0.8567748527799964
3.07035175879397,1.0,0.9614999279352251,0.8596498612950763
3.1055276381909547,1.0,0.9623398250244203,0.862443035895554
3.14070351758794,1.0,0.9631528227463193,0.8651572927221081
3.1758793969849246,1.0,0.9639400453836089,0.8677954275672298
3.2110552763819094,1.0,0.9647025597359052,0.8703601212478013
3.2462311557788945,1.0,0.9654413785700947,0.8728539447417422
3.2814070351758793,1.0,0.9661574638344356,0.8752793640965217
3.3165829145728645,1.0,0.9668517296544706,0.8776387451175307
3.351758793969849,1.0,0.9675250451273041,0.8799343578444059
3.3869346733668344,1.0,0.9681782369294033,0.8821683808234484
3.422110552763819,1.0,0.9688120917518372,0.8843429051842202
3.457286432160804,1.0,0.9694273585757268,0.8864599385283346
3.492462311557789,1.0,0.9700247507996391,0.8885214086383111
3.527638190954774,1.0,0.9706049482297042,0.8905291670142179
3.5628140703517586,1.0,0.9711685989423797,0.8924849922456205
3.5979899497487438,1.0,0.9717163210289894,0.8943905932261603
3.6331658291457285,1.0,0.9722487042304472,0.8962476122178519
3.6683417085427137,1.0,0.9727663114699122,0.8980576277719571
3.7035175879396984,1.0,0.9732696802905249,0.8998221575130546
3.7386934673366836,1.0,0.9737593242048147,0.9015426607926742
3.7738693467336684,1.0,0.9742357339618746,0.9032205412186185
3.809045226130653,1.0,0.9746993787379176,0.9048571490658509
3.8442211055276383,1.0,0.9751507072554266,0.906453783574586
3.879396984924623,1.0,0.9755901488357024,0.908011695140965
3.914572864321608,1.0,0.9760181143892604,0.9095320874054902
3.949748743718593,1.0,0.976434997348205,0.9110161192441312
3.984924623115578,1.0,0.9768411745443983,0.9124649066668175
4.0201005025125625,1.0,0.9772370070369694,0.9138795246277993
4.055276381909548,1.0,0.977622840892446,0.9152610087521622
4.090452261306533,1.0,0.9779990079205617,0.9166103569825638
4.125628140703517,1.0,0.9783658263685778,0.9179285311500822
4.160804020100502,1.0,0.9787236015767371,0.9192164584728686
4.1959798994974875,1.0,0.9790726265973159,0.9204750329861202
4.231155778894472,1.0,0.9794131827795373,0.9217051169067185
4.266331658291457,1.0,0.9797455403224714,0.9229075419357162
4.301507537688442,1.0,0.9800699587978952,0.924083110501691
4.336683417085427,1.0,0.9803866876449475,0.9252325969478447
4.371859296482413,1.0,0.9806959666382992,0.9263567486655767
4.407035175879397,1.0,0.9809980263314273,0.9274562871771255
4.442211055276382,1.0,0.9812930884764981,0.9285319091697443
4.477386934673367,1.0,0.981581366422235,0.9295842874837522
4.5125628140703515,1.0,0.9818630654910874,0.9306140720566828
4.547738693467337,1.0,0.9821383833369033,0.9316218908256436
4.582914572864322,1.0,0.9824075102842499,0.932608350589892
4.618090452261306,1.0,0.9826706296504417,0.9335740378355308
4.653266331658291,1.0,0.9829279180512658,0.934519519524136
4.688442211055277,1.0,0.983179545691346,0.9354453438470302
4.723618090452261,1.0,0.9834256766400058,0.9363520409468357
4.758793969849246,1.0,0.983666469093455,0.9372401236078564
4.793969849246231,1.0,0.9839020756240611,0.9381100879167606
4.829145728643216,1.0,0.9841326434174255,0.938962413894961
4.864321608040201,1.0,0.9843583144979408,0.9397975661040222
4.899497487437186,1.0,0.9845792259434537,0.9406159942253531
4.934673366834171,1.0,0.984795510089637,0.9414181336153876
4.969849246231156,1.0,0.9850072947246179,0.9422044058373895
5.005025125628141,1.0,0.9852147032744015,0.9429752191709626
5.040201005025126,1.0,0.9854178549795635,0.943730969100296
5.075376884422111,1.0,0.9856168650636918,0.9444720387821236
5.110552763819095,1.0,0.985811844894005,0.9451987994943223
5.1457286432160805,1.0,0.9860029021345592,0.9459116110660368
5.180904522613066,1.0,0.9861901408924314,0.9466108222901667
5.21608040201005,1.0,0.9863736618572424,0.947296771319019
5.251256281407035,1.0,0.9865535624343622,0.9479697860438826
5.28643216080402,1.0,0.986729936872122,0.9486301844592465
5.321608040201005,1.0,0.9869028763833366,0.9492782750123524
5.35678391959799,1.0,0.9870724692614258,0.9499143569387339
5.391959798994975,1.0,0.9872388009914088,0.9505387205843641
5.427135678391959,1.0,0.98740195435602,0.9511516477150035
5.4623115577889445,1.0,0.9875620095371991,0.9517534118133185
5.49748743718593,1.0,0.9877190442131741,0.9523442783642971
5.532663316582914,1.0,0.9878731336513629,0.9529245051294802
5.5678391959799,1.0,0.988024350797286,0.9534943424104966
5.603015075376884,1.0,0.9881727663596973,0.9540540333023589
5.638190954773869,1.0,0.988318448892103,0.9546038139369699
5.673366834170855,1.0,0.9884614648708506,0.9551439137172546
5.708542713567839,1.0,0.9886018787699473,0.9556745555423247
5.743718592964824,1.0,0.9887397531327626,0.9561959560240527
5.778894472361809,1.0,0.988875148640764,0.9567083256954241
5.814070351758794,1.0,0.9890081241794247,0.9572118692110165
5.849246231155779,1.0,0.9891387369014332,0.9577067855399337
5.884422110552764,1.0,0.9892670422873302,0.9581932681515131
5.919597989949748,1.0,0.9893930942036943,0.9586715051941109
5.954773869346734,1.0,0.9895169449589853,0.959141679667247
5.989949748743719,1.0,0.9896386453571532,0.959603969587394
6.025125628140703,1.0,0.9897582447491129,0.9600585481476616
6.060301507537688,1.0,0.9898757910821856,0.9605055838716369
6.0954773869346734,1.0,0.9899913309475902,0.9609452407616139
6.130653266331658,1.0,0.99010490962608,0.9613776784414446
6.165829145728644,1.0,0.9902165711317986,0.9618030522942255
