R_Ang,d_Ang,ratio
3.0,0.0,1.0
3.0351758793969847,0.0,1.0
3.07035175879397,0.0,1.0
3.1055276381909547,0.0,1.0
3.14070351758794,0.0,1.0
3.1758793969849246,0.0,1.0
3.2110552763819094,0.0,1.0
3.2462311557788945,0.0,1.0
3.2814070351758793,0.0,1.0
3.3165829145728645,0.0,1.0
3.351758793969849,0.0,1.0
3.3869346733668344,0.0,1.0
3.422110552763819,0.0,1.0
3.457286432160804,0.0,1.0
3.492462311557789,0.0,1.0
3.527638190954774,0.0,1.0
3.5628140703517586,0.0,1.0
3.5979899497487438,0.0,1.0
3.6331658291457285,0.0,1.0
3.6683417085427137,0.0,1.0
3.7035175879396984,0.0,1.0
3.7386934673366836,0.0,1.0
3.7738693467336684,0.0,1.0
3.809045226130653,0.0,1.0
3.8442211055276383,0.0,1.0
3.879396984924623,0.0,1.0
3.914572864321608,0.0,1.0
3.949748743718593,0.0,1.0
3.984924623115578,0.0,1.0
4.0201005025125625,0.0,1.0
4.055276381909548,0.0,1.0
4.090452261306533,0.0,1.0
4.125628140703517,0.0,1.0
4.160804020100502,0.0,1.0
4.1959798994974875,0.0,1.0
4.231155778894472,0.0,1.0
4.266331658291457,0.0,1.0
4.301507537688442,0.0,1.0
4.336683417085427,0.0,1.0
4.371859296482413,0.0,1.0
4.407035175879397,0.0,1.0
4.442211055276382,0.0,1.0
4.477386934673367,0.0,1.0
4.5125628140703515,0.0,1.0
4.547738693467337,0.0,1.0
4.582914572864322,0.0,1.0
4.618090452261306,0.0,1.0
4.653266331658291,0.0,1.0
4.688442211055277,0.0,1.0
4.723618090452261,0.0,1.0
4.758793969849246,0.0,1.0
4.793969849246231,0.0,1.0
4.829145728643216,0.0,1.0
4.864321608040201,0.0,1.0
4.899497487437186,0.0,1.0
4.934673366834171,0.0,1.0
4.969849246231156,0.0,1.0
5.005025125628141,0.0,1.0
5.040201005025126,0.0,1.0
5.075376884422111,0.0,1.0
5.110552763819095,0.0,1.0
5.1457286432160805,0.0,1.0
5.180904522613066,0.0,1.0
5.21608040201005,0.0,1.0
5.251256281407035,0.0,1.0
5.28643216080402,0.0,1.0
5.321608040201005,0.0,1.0
5.35678391959799,0.0,1.0
5.391959798994975,0.0,1.0
5.427135678391959,0.0,1.0
5.4623115577889445,0.0,1.0
5.49748743718593,0.0,1.0
5.532663316582914,0.0,1.0
5.5678391959799,0.0,1.0
5.603015075376884,0.0,1.0
5.638190954773869,0.0,1.0
5.673366834170855,0.0,1.0
5.708542713567839,0.0,1.0
5.743718592964824,0.0,1.0
5.778894472361809,0.0,1.0
5.814070351758794,0.0,1.0
5.849246231155779,0.0,1.0
5.884422110552764,0.0,1.0
5.919597989949748,0.0,1.0
5.954773869346734,0.0,1.0
5.989949748743719,0.0,1.0
6.025125628140703,0.0,1.0
6.060301507537688,0.0,1.0
6.0954773869346734,0.0,1.0
6.130653266331658,0.0,1.0
6.165829145728644,0.0,1.0
6.201005025125628,0.0,1.0
6.236180904522612,0.0,1.0
6.2713567839195985,0.0,1.0
6.306532663316583,0.0,1.0
6.341708542713568,0.0,1.0
6.376884422110553,0.0,1.0
6.4120603015075375,0.0,1.0
6.447236180904523,0.0,1.0
6.482412060301508,0.0,1.0
6.517587939698492,0.0,1.0
6.552763819095477,0.0,1.0
6.5879396984924625,0.0,1.0
6.623115577889447,0.0,1.0
6.658291457286432,0.0,1.0
6.693467336683417,0.0,1.0
6.7286432160804015,0.0,1.0
6.763819095477387,0.0,1.0
6.798994974874372,0.0,1.0
6.834170854271356,0.0,1.0
6.869346733668342,0.0,1.0
6.9045226130653266,0.0,1.0
6.939698492462312,0.0,1.0
6.974874371859297,0.0,1.0
7.010050251256281,0.0,1.0
7.045226130653266,0.0,1.0
7.080402010050252,0.0,1.0
7.115577889447236,0.0,1.0
7.150753768844221,0.0,1.0
7.185929648241206,0.0,1.0
7.221105527638191,0.0,1.0
7.256281407035176,0.0,1.0
7.291457286432161,0.0,1.0
7.326633165829145,0.0,1.0
7.36180904522613,0.0,1.0
7.396984924623116,0.0,1.0
7.432160804020101,0.0,1.0
7.467336683417085,0.0,1.0
7.50251256281407,0.0,1.0
7.5376884422110555,0.0,1.0
7.57286432160804,0.0,1.0
7.608040201005025,0.0,1.0
7.64321608040201,0.0,1.0
7.678391959798995,0.0,1.0
7.71356783919598,0.0,1.0
7.748743718592965,0.0,1.0
7.78391959798995,0.0,1.0
7.819095477386934,0.0,1.0
7.8542713567839195,0.0,1.0
7.889447236180905,0.0,1.0
7.924623115577889,0.0,1.0
7.959798994974874,0.0,1.0
7.994974874371859,0.0,1.0
8.030150753768844,0.0,1.0
8.065326633165828,0.0,1.0
8.100502512562814,0.0,1.0
8.1356783919598,0.0,1.0
8.170854271356784,0.0,1.0
8.206030150753769,0.0,1.0
8.241206030150753,0.0,1.0
8.276381909547737,0.0,1.0
8.311557788944723,0.0,1.0
8.34673366834171,0.0,1.0
8.381909547738694,0.0,1.0
8.417085427135678,0.0,1.0
8.452261306532662,0.0,1.0
8.487437185929648,0.0,1.0
8.522613065326633,0.0,1.0
8.557788944723619,0.0,1.0
8.592964824120603,0.0,1.0
8.628140703517587,0.0,1.0
8.663316582914572,0.0,1.0
8.698492462311558,0.0,1.0
8.733668341708544,0.0,1.0
8.768844221105528,0.0,1.0
8.804020100502512,0.0,1.0
8.839195979899497,0.0,1.0
8.874371859296481,0.0,1.0
8.909547738693467,0.0,1.0
8.944723618090453,0.0,1.0
8.979899497487438,0.0,1.0
9.015075376884422,0.0,1.0
9.050251256281406,0.0,1.0
9.085427135678392,0.0,1.0
9.120603015075377,0.0,1.0
9.155778894472363,0.0,1.0
9.190954773869347,0.0,1.0
9.226130653266331,0.0,1.0
9.261306532663315,0.0,1.0
9.296482412060302,0.0,1.0
9.331658291457288,0.0,1.0
9.366834170854272,0.0,1.0
9.402010050251256,0.0,1.0
9.43718592964824,0.0,1.0
9.472361809045225,0.0,1.0
9.507537688442211,0.0,1.0
9.542713567839197,0.0,1.0
9.577889447236181,0.0,1.0
9.613065326633166,0.0,1.0
9.64824120603015,0.0,1.0
9.683417085427136,0.0,1.0
9.71859296482412,0.0,1.0
9.753768844221106,0.0,1.0
9.78894472361809,0.0,1.0
9.824120603015075,0.0,1.0
9.85929648241206,0.0,1.0
9.894472361809045,0.0,1.0
9.929648241206031,0.0,1.0
9.964824120603016,0.0,1.0
10.0,0.0,1.0
3.0,0.010050251256281407,0.9999957913668307
3.0351758793969847,0.010050251256281407,0.9999958883523191
3.07035175879397,0.010050251256281407,0.9999959820235733
3.1055276381909547,0.010050251256281407,0.9999960725298994
3.14070351758794,0.010050251256281407,0.999996160012288
3.1758793969849246,0.010050251256281407,0.9999962446039655
3.2110552763819094,0.010050251256281407,0.9999963264309011
3.2462311557788945,0.010050251256281407,0.9999964056122768
3.2814070351758793,0.010050251256281407,0.9999964822609213
3.3165829145728645,0.010050251256281407,0.9999965564837106
3.351758793969849,0.010050251256281407,0.9999966283819437
3.3869346733668344,0.010050251256281407,0.9999966980516853
3.422110552763819,0.010050251256281407,0.9999967655840899
3.457286432160804,0.010050251256281407,0.9999968310656968
3.492462311557789,0.010050251256281407,0.9999968945787105
3.527638190954774,0.010050251256281407,0.999996956201258
3.5628140703517586,0.010050251256281407,0.9999970160076268
3.5979899497487438,0.010050251256281407,0.9999970740684934
3.6331658291457285,0.010050251256281407,0.9999971304511266
3.6683417085427137,0.010050251256281407,0.9999971852195879
3.7035175879396984,0.010050251256281407,0.9999972384349106
3.7386934673366836,0.010050251256281407,0.9999972901552696
3.7738693467336684,0.010050251256281407,0.9999973404361421
3.809045226130653,0.010050251256281407,0.9999973893304548
3.8442211055276383,0.010050251256281407,0.9999974368887247
3.879396984924623,0.010050251256281407,0.9999974831591889
3.914572864321608,0.010050251256281407,0.9999975281879269
3.949748743718593,0.010050251256281407,0.9999975720189755
3.984924623115578,0.010050251256281407,0.9999976146944365
4.0201005025125625,0.010050251256281407,0.9999976562545776
4.055276381909548,0.010050251256281407,0.9999976967379284
4.090452261306533,0.010050251256281407,0.999997736181368
4.125628140703517,0.010050251256281407,0.9999977746202112
4.160804020100502,0.010050251256281407,0.9999978120882852
4.1959798994974875,0.010050251256281407,0.9999978486180058
4.231155778894472,0.010050251256281407,0.9999978842404473
4.266331658291457,0.010050251256281407,0.9999979189854084
4.301507537688442,0.010050251256281407,0.9999979528814729
4.336683417085427,0.010050251256281407,0.9999979859560718
4.371859296482413,0.010050251256281407,0.999998018235536
4.407035175879397,0.010050251256281407,0.9999980497451505
4.442211055276382,0.010050251256281407,0.9999980805092025
4.477386934673367,0.010050251256281407,0.9999981105510294
4.5125628140703515,0.010050251256281407,0.9999981398930625
4.547738693467337,0.010050251256281407,0.9999981685568686
4.582914572864322,0.010050251256281407,0.9999981965631907
4.618090452261306,0.010050251256281407,0.9999982239319839
4.653266331658291,0.010050251256281407,0.9999982506824526
4.688442211055277,0.010050251256281407,0.9999982768330836
4.723618090452261,0.010050251256281407,0.9999983024016771
4.758793969849246,0.010050251256281407,0.9999983274053794
4.793969849246231,0.010050251256281407,0.9999983518607082
4.829145728643216,0.010050251256281407,0.9999983757835829
4.864321608040201,0.010050251256281407,0.9999983991893495
4.899497487437186,0.010050251256281407,0.9999984220928047
4.934673366834171,0.010050251256281407,0.9999984445082194
4.969849246231156,0.010050251256281407,0.9999984664493625
5.005025125628141,0.010050251256281407,0.9999984879295194
5.040201005025126,0.010050251256281407,0.9999985089615141
5.075376884422111,0.010050251256281407,0.9999985295577277
5.110552763819095,0.010050251256281407,0.999998549730117
5.1457286432160805,0.010050251256281407,0.9999985694902307
5.180904522613066,0.010050251256281407,0.9999985888492275
5.21608040201005,0.010050251256281407,0.9999986078178915
5.251256281407035,0.010050251256281407,0.9999986264066454
5.28643216080402,0.010050251256281407,0.9999986446255679
5.321608040201005,0.010050251256281407,0.999998662484404
5.35678391959799,0.010050251256281407,0.9999986799925815
5.391959798994975,0.010050251256281407,0.9999986971592206
5.427135678391959,0.010050251256281407,0.9999987139931477
5.4623115577889445,0.010050251256281407,0.999998730502905
5.49748743718593,0.010050251256281407,0.9999987466967624
5.532663316582914,0.010050251256281407,0.9999987625827291
5.5678391959799,0.010050251256281407,0.9999987781685603
5.603015075376884,0.010050251256281407,0.9999987934617693
5.638190954773869,0.010050251256281407,0.9999988084696361
5.673366834170855,0.010050251256281407,0.9999988231992152
5.708542713567839,0.010050251256281407,0.9999988376573449
5.743718592964824,0.010050251256281407,0.9999988518506542
5.778894472361809,0.010050251256281407,0.9999988657855711
5.814070351758794,0.010050251256281407,0.99999887946833
5.849246231155779,0.010050251256281407,0.9999988929049786
5.884422110552764,0.010050251256281407,0.9999989061013836
5.919597989949748,0.010050251256281407,0.9999989190632386
5.954773869346734,0.010050251256281407,0.9999989317960694
5.989949748743719,0.010050251256281407,0.9999989443052391
6.025125628140703,0.010050251256281407,0.9999989565959568
6.060301507537688,0.010050251256281407,0.9999989686732791
6.0954773869346734,0.010050251256281407,0.9999989805421169
6.130653266331658,0.010050251256281407,0.9999989922072425
6.165829145728644,0.010050251256281407,0.9999990036732903
6.201005025125628,0.010050251256281407,0.9999990149447655
6.236180904522612,0.010050251256281407,0.999999026026045
6.2713567839195985,0.010050251256281407,0.9999990369213843
6.306532663316583,0.010050251256281407,0.9999990476349203
6.341708542713568,0.010050251256281407,0.9999990581706757
6.376884422110553,0.010050251256281407,0.9999990685325614
6.4120603015075375,0.010050251256281407,0.9999990787243834
6.447236180904523,0.010050251256281407,0.9999990887498421
6.482412060301508,0.010050251256281407,0.9999990986125393
6.517587939698492,0.010050251256281407,0.9999991083159789
6.552763819095477,0.010050251256281407,0.9999991178635713
6.5879396984924625,0.010050251256281407,0.9999991272586365
